symbol,sector
LIFWZ,Financial Services
IVCBW,Financial Services
ZPTA,Health Care
KFFB,Financial Services
SATX,Financial Services
SCLXW,Technology
AIHS,Healthcare
DRCT,Technology
WRAP,"Financials,Real Estate Management & Development,Texas-Based Regional Bank"
SW,Financial Services
PAVS,Consumer Discretionary
CNFR,Consumer Discretionary Services
WOK,Technology
T,Technology
CERO,Industrials
PRSO,"Consumer Discretionary Goods"""
CVU,Healthcare Services
NNAVW,Health Care
ATXG,Technology
FIACU,Consumer Services
GB,Retailing
SYNX,Technology
ATUS,Technology
DJT,Consumer Goods & Services
FBMS,Banking & Finance
JACK,Consumer Goods
APWC,Financial Services
HUMA,Healthcare Technology
GLP,Financial Services
PW,Financials
SINT,Healthcare Technologies
ONVO,Biotechnology
SCWO,Materials
EVAX,Technology
ANIX,Biotechnology
TC,Technology
EPSN,Technology
PLAG,Software & Services
GNTA,Consumer Discretionary
MDJH,Consumer Discretionary
FVRR,Games & Toys
LASE,Technology
PRPL,Technology
QUAD,Technology
UMAC,Technology
FEAM,Technology
GODNU,Technology
VINE,Technology
HGBL,Technology
SJT,Technology
ESLA,Technology
SNES,Software
SHMD,Consumer Discretionary
UNB,Technology
ALVO,Technology
TNL,Technology
LVLU,Technology & Communication Services
YCBD,Nutrition & Supplements
TXN,Technology
BRFH,Financials
ASPI,Technology
UONEK,Technology
CGA,Communication Equipment
SPCB,Semiconductor &amp; Specialty Electronic Manufacturing
LRN,Education Services
AMPGW,Xenon/Electronics
COEPW,Industrial Goods & Services
AEAEW,Energy
NLSPW,Technology
CRGOW,Consumer Discretionary Goods & Services
CITEW,Technology
UAVS,Technology
PNST,Consumer Discretionary
MNYWW,Technology
FTRE,Retailing
CLIR,Technology
JVSAU,Technology
PMEC,Information Technology
CCO,Consumer Discretionary Services
CUBWW,Consumer Discretionary
SOHOO,Consumer Discretionary Goods & Services
VYGR,Technology
NTIP,Communication Services
WKEY,Finance/Consumer Services
UK,United Kingdom
VEON,Telecommunications Services
RENT,Real Estate Services
PTN,Technology
SCOR,Insurance
NUS,Technology
CIO,Financials
LI,Real Estate
LIDRW,Consumer Discretionary
GCI,Media
EPRX,Real Estate
ITRM,Technology
NXLIW,Finance
MGNI,Technology
TMHC,Real Estate
LSBK,Real Estate
FTCI,Finance/Fidelity
AKTX,Technology
YGMZ,Consumer Discretionary
CCTG,Retailing
TWIN,Technology
ALTR,Technology
PLAOU,Technology
ABVE,Communication Services
COMM,Finance
RRC,Energy
VERB,FinTech
OCC,Financial Services
GOGO,Technology
FGI,Consumer Discretionary
AHT^G,Technology
STEC,Data Storage Hardware
NTRP,Technology
ANTE,Financial Services
SMBK,Sustainable Energy
VS,Finance
FVCB,Financial Services
TIRX,Technology
RPID,Technology
BSRR,REIT - Financials
BH,Banks
TACT,Technology
DCOM,Technology
GSBC,Technology
VZ,Communications Services
GDOT,Transportation
NMTC,Telecommunications Services
FSHPU,Financial Services
ALTS,Technology
TELO,Technology
MDAIW,Consumer Goods
CPSS,Technology
AHR,Industrial Goods/Services
PIRS,Information Technology
ENGN,Technology
IP,Semiconductors & Semi-Conductor Metrology
TLPH,Pharmaceuticals
ORRF,Financials
SIM,Software & Services
ISTR,Technology
RCUS,Technology
IHT,Industrial Goods/Services
IRDM,Technology
DOC,Pharma
WASH,Consumer Discretionary
ALGM,Finance/Consumer Finance
CARM,Communication Services
FDMT,Technology
SPH,Communication Services
PULM,Healthcare
NAMSW,Technology
SAIHW,Financials
TBMCR,Consumer Discretionary Goods - Automobiles
JDZG,Technology
SGMO,Biotechnology
UPWK,EDUCATION
ABVEW,Technology
RAYA,Real Estate Services
NRSNW,Energy
LDTCW,Technology
MSAIW,Software & Services
CGTX,Technology
LSB,Consumer Staples
IVCAW,"""Industrial Goods/Services"""
IPXXW,Health Care
ASPS,Technology
FAMI,Financials
AMPG,Materials
PHUN,"Phun 
Healthcare"
AERTW,Finance & Investment Services
VMCAW,Financial Services
MTEN,Finance
SGD,Finance
SVIIW,Information Technology
TALO,Technology
XERS,Consumer Services
ELME,Technology
WNS,Technology Information Services
KZR,Technology
GAU,Materials
RVMD,Biotechnology
RDIB,Information Technology
PROV,Technology
CRVO,Technology
ARL,Technology
FSI,Technology
APLT,Telecommunications Infrastructure
WFCF,Consumer Services
TPST,Technology
STKH,Technology
PCTTW,Energy
NRG,Energy
PYXS,Technology
GE,Consumer Discretionaries - Housekeeping & Specialty Retailing
RHI,Materials
OCS,Sector: Consumer Cyclical
LOMA,Consumer Cyclical
BKR,Consumer Goods
VIRX,Real Estate
NWFL,Financial Services
BOTJ,Technology
GTIM,Healthcare
CTVA,Communication Services
HCSG,Consumer Services
KVHI,Semiconductor/Technology
CNFRZ,Technology
GPC,Packaged Foods - Beverages
ELS,Healthcare Services
SUI,Energy
TRU,Real Estate Services
IVCB,Technology
VIGL,Technology
LNKB,Technology
ANEB,Technology
APDN,Technology
AMRC,Real Estate Services
LUXHP,Technology
CURR,Financial Services
GLXG,Financial Services
BXMT,Real Estate Investment Trusts (REITs)
TARS,Technology
CLS,Industrial Goods | Consumer Cyclicals & Capital Goods
TXNM,Real Estate Services
SHEN,Financials
BHRB,Healthcare
UHG,Technology
PRDO,Consumer Cyclical
LII,LII -> Industrial Equip. & Svc. & Consum. Rntry
KLC,Banking
NTRB,Information Technology
CRMD,Healthcare
ENVB,Renewable Energy
CRKN,Technology
LENZ,Technology
MXL,Technology
PVL,Technology
RAPP,FinTech/Financial Services
CUBB,Finance
RDZN,Consumer Discretionary
MHH,Healthcare Equip & Svcs
IMTE,Information Technology
LBGJ,FINANCIALSERVICE
HLF,HLF - Health Care Stock Sector
WTBA,Finance/Investment Services
REFR,Consumer Discretionary
UGRO,Real Estate Investments
BVS,Technology
PPC,Packaged Foods - Holdings & Services
DAIO,Software/Technology
ATMVR,Real Estate
BRLSW,Banking/Financial Services
JUNE,Technology
EB,Energy
NTIC,Services
AFYA,Healthcare Services
FCEL,Energy
PNTG,Technology
APH,Healthcare
MSC,Industrials
FTHM,Financials - Consumer Lending & Mortgages
LPL,Financial Services
EQX,Technology
GPMT,Transportation)
EVLVW,Consumer Defensive
LSAK,Financials
GLT,Information Technology
QNCX,Communication Services
RYAM,Technology
MPU,Technology
SUUN,Technology
FRD,Financial Services
RECT,"""Technology"""
APM,Financials
AMH,AMHPX
QTTB,Communication Services
EQR,Real Estate
NVST,Technology
BFIN,Finance/Investment Services
EQS,Technology
PACS,Financial Services
BKYI,Technology
UMH,Healthcare
MNSO,Semiconductor & Other Electronics
OCX,Communication Services
WCT,Energy
ACNT,Finance
CRGO,Consumer Discretionary
EDN,Financial Services
ESS,Finance & Insurance
UONE,Energy
STBX,Technology
SAH,Hospitality & Leisure Services
CRK,Battery Energy Dis & Svcs
MVBF,Financial Services
OS,Utilities
UEIC,"""Consumer Defensive"""
VLGEA,Technology
LINK,Digital Coins
SABR,Communication Services
RYAN,Financial Services
AMT,Financial Services
IZEA,Internet Information Services & Media.
ACI,Finance
HURC,Construction
ON,Technology
AVB,Consumer Discretionary
IMUX,Financials
SIGI,Technology
PMAX,Technology
GNL^B,Health Care
KR,Consumer Staples
DFH,Financial Services
EEFT,Financials
ADC,Health Care
NXPI,Semiconductor & Other Electronics Equipments
NRXS,Information Technology
LXEH,Real Estate Services
SOHOB,Technology
DAO,Financials
ILAG,Consumer Discretionary
CMTG,Materials
PRPO,Technology
INVH,Real Estate
UVE,Utilities
AEON,Consumer Finance & Credit
WSBF,Finance
ASM,Finance
PWOD,Technology
NAMS,Materials
XNET,Technology
NVACR,Consumer Staples
XCH,Technology
OKYO,Technology
TNONW,Telecommunications Services
NVAWW,Technology
OCEAW,Airlines/Defense
VEV,Technology
CGBSW,Energy
BKHAR,Technology
FBLA,Finance
CRMLW,Real Estate
JBT,Industrial Goods/Services
NTRBW,Energy and Utilities.
SKK,Technology
LVTX,Technology
CDT,Energy
LUXH,Healthcare Services
LILMW,Materials
GTBP,Information Technology
VEEE,Technology
CAPTW,Technology
HRTG,Telecommunications
DSS,Finance/Investments
LEXXW,Technology
LTRYW,Technology
ODVWZ,Technology Sector
QNTM,Technology
CCTSW,Communication Services
IKT,Technology
WALDW,Real Estate
AFJKR,Consumer Staples
WINVR,Technology
WWR,Oil & Gas Operations
PFTAW,Financials
EEIQ,Finance & Investment Services
PDYNW,Technology
NDLS,Technology
SMXT,Technology
LRHC,Technology
LILM,Technology
VICR,Materials
RMCF,Consumer Discretionary
NVA,Healthcare
BDRX,Technology
FBYDW,Materials
GDTC,Finance
TZOO,Consumer Discretionary
GDSTR,Technology
YOTAR,Technology
SVRE,Communications
GDEV,Technology
HCTI,Technology
NETDW,Technology
KWE,Utilities
CINGW,Telecommunications Services
CNTX,Technology
RKDA,Consumer Discretionaries
DRMAW,Technology
LEE,Materials
TLSA,Technology
XBPEW,Technology
GDEVW,Technology
ZCARW,Communications Equipment
DOUG,Materials & Packaging
TMTCR,Technology
LYRA,Biotechnology
PTON,Consumer Discretionary Goods & Services
GTEC,Technology
AUMN,Technology
ALXO,Real Estate
LGMK,Technology
VMI,Industrial Goods/Services
LUMO,Technology
IBO,Banking
RNAZ,Technology
HYMCW,Industrials
ELDN,Technology
RZLVW,Technology
RCKTW,Telecom Services
LAD,Transportation
ALCE,Financials
IRT,Financial Services
OMCC,Oil & Gas Equipment
SAM,Consumer Staples
AE,Industrials
GIFT,Consumer Discretionary
EW,Financials
VBTX,"""Banking & Finance"""
ATGE,Telecommunications Services
WHLM,Consumer Discretionary Services-Food & Restaurants
RPAY,Technology
TFSL,Finance
RUSHB,Financials
BXC,Materials
ULCC,Restaurants
TFFP,Financial Services
XRTX,Technology
ATMU,Technology
ALBT,Finance
CFR,Financials
PLPC,Consumer Discretionary
WEYS,Utilities
MIRA,Healthcare Technology
GAIA,Technology
HWH,Healthcare
GOEVW,Electric Vehicles
CR,Finance
ELVA,Technology
QSR,Restaurants & Food Services
SYBT,Banking & Financial Stocks
ISPR,Information Services
SABSW,Technology Sector
RRBI,Financial Services
RUSHA,Healthcare
BBGI,Health Care
VISL,Financial Services
KZIA,Bio-Tech
DMAC,Manufacturing
HTHT,Transportation
FDBC,Finance and Banks
SQFT,Real Estate
BMI,Construction Materials & Equipment
OCSAW,Information Technology
SPI,Retail/Consumers Specialty & Department Stores
HYFM,Financials
DDL,Technology
HMN,Financial Services
DRTS,Technology
GBBKW,Banking & Finance
GECC,Consumer Finance
MITAU,Financial Services
SFST,Sector: Financials
CLGN,Healthcare Equipments & Services
CGBS,Banking & Financials
OPT,Technology
TMQ,Healthcare
ABVC,Finance
ADXN,Technology
CRDF,Financial Services
HLP,Healthcare
EXR,Real Estate
HDL,Technology
GNTY,Finance
STT,Financials
LOPE,Technology
GLU,Biotechnology
ARKR,Financial Services
LNN,Technology
GEOS,Technology
SBRA,Hospitality
ABG,Capital Goods
NPWR,Communication Services
HL^B,Healthcare
LICN,Technology
SNAP,"Snap Inc. 

(Note: I'm assuming you want me to look up the ticker symbol and provide the corresponding sector.)"
CYN,Technology
FBRX,Financial Services
RGCO,Construction & Engineering
MED,Healthcare
VREX,Technology
AUR,Materials
BRID,Financials
SMTC,Semiconductor
BDL,Banks
PLG,Software/Technology
NAII,Industrials
PLMJU,Energy
FXNC,Technology
ATLX,Technology
CPNG,Information Technology
AEE,Utilities
XOMA,Biotechnology
EVI,Technology
ARE,Real Estate
HDB,Healthcare Facilities
TH,Technology
CUBE,Technology
RGF,Real Good Foods Inc [Consumer Staples]
NCNO,Semiconductors and Other Electronic Components
QMCO,Communication Services
CPA,Technology
CCEL,Cell Therapeutics (CCEL) - Healthcare
SRG^A,Consumer Discretionary & Specialty Retail
ED,Consumer Finance
COTY,Consumer Staples
EP,Technology
PLD,Real Estate
HSON,Technology
BFAM,Financials
MAA,Healthcare Services
SCHL,Finance
CURV,Financials
CMP,Consumer Goods & Retailing
MTSI,Semiconductors & Semi-Conductor Instruments
RGNX,Genomics/Perfing & Genomics
OOMA,Internet Software & Services
CBFV,Financial Services
STTK,Communication Services
VTR,Real Estate
NI,Industrial metals & minerals
D,Consumer Goods
CPAY,Healthcare Services
CTRE,Real Estate
STRA,Telecom Services
BJDX,Manufacturing
BOSC,Consumer Discretionary Services
NHI,Health Services
WMT,Consumer Staples
RLGT,Technology
X,Technology
CMS,Consumer Finance Services
NEE,Utilities
TCOM,Technology
SOHON,Consumer Durables
ISPC,Retail/Consumer Services
EAT,"Restaurants  

(Ticker: EAT - Parent company Dine Brands Global Inc. - Subsector Restaurants) 

is incorrect 
 Resturant is incorrect as well. The actual sector is Retail/Consumer Services"
GERN,Healthcare
YOSH,Technology
PFS,Finance</s></s></s>
SDST,"""Real Estate/Construction"""
MBOT,Technology
KVYO,Technology
KITT,Technology
MBIN,Finance
JNJ,Healthcare
GPOR,Energy
OPTX,"Optex Systems Holdings, Inc. - Technology Hardware & Equipment"
SIF,Finance
DTCK,Technology
ALTI,Technology
PET,Basic Materials
GT,Information Technology
SNDA,Pharmaceuticals/Healthcare
ESSA,Energy
EURKU,Real Estate Services
ETR,Real Estate
FTK,Technology
JMSB,Consumer Staples
EQIX,Real Estate Services
PSA,Technology
STLA,Consumer Discretionary
HR,Healthcare Services
VLY,Insurance & Reinsurance
NU,Utilities
LNT,Utilities
HBB,Consumer Services
AIN,Financials
ENG,Energy
PBMWW,Healthcare
AR,Consumer Discretionary
GAME,Technology
GNE,Real Estate
CULP,Technology
TDS,Technology
CQP,Energy
IMVT,Healthcare
AOUT,Technology
ROIC,Healthcare
TKLF,Technology & Networking Equipment
GPUS^D,Semiconductors & Semiconductor Equipment
GXO,Logistics/Supply Chain Services
BCRX,Biotechnology
BLUE,Banking/Financial Services
AVTE,Technology
LINC,Consumer Finance
EIC,Technology
TNET,Technology
TOVX,Technology
PPL,Utilities
CECO,Technology
DTE,Energy
INVE,Technology
KRO,Consumer Defensive
SCYX,Healthcare
ACEL,Technology
VNRX,Health Care
HEES,Consumer Discretionary Goods & Services
IOT,Technology
PALI,Consumer Defensive
PNW,Information Technology
STRW,Technology
IRM,Insurance
FI,Information Services
BOC,Consumer Finance
RTX,Technology & Information Services
SYPR,Software & Services
MLEC,"MLC Equity Fund Inc. 
Financial Services"
SDHC,Real Estate Investable Trusts and Diversified REITs
HTBI,Banking & Finance
LB,Financial Services
SSSS,Industrials
RZLT,Technology
SEATW,Technology
SNTI,Technology
RFIL,Retail
ANGH,Technology
BCML,Finance / Banking
ES,Energy
WAFD,Financial Services
PLBC,Technology
WELL,Health Care Service
PRE,Real Estate
CON,Technology
NCPL,Healthcare Services
PSO,Energy
BFRI,Finance
GBCI,Technology
ORIC,Energy
MDT,Medical Equipment/ Supplies
GEV,Consumer Discretionary
VTOL,Technology
HTBK,Banking
AORT,Pharma/Healthcare
EYE,Healthcare services.
EGAN,Healthcare
PBBK,Financial Services & Banking
IDT,Hardware & Technology
IPWR,Hydrogen and Fuel Cells
VRE,Real Estate Invest.
KRMD,Technology
GPI,Technology
CGC,Healthcare
TSM,Information Technology
RTC,Technology
LFT,Materials
NN,Communication Services
ISDR,Technology
UHAL,Consumer Discretionary Goods & Services
INFU,Technology
CCB,"""Consumer Financials"""
UFPT,Sundial Growers Inc.
INGR,Technology
NFBK,Finance
MQ,Materials & Construction
CPT,Technology
BOW,Technology
BATRK,Consumer Defensive
DALN,Financials
VRA,Renewable Energy
HOMB,Holding Company (Banking)
TUSK,Technology
BOF,Finance
AUNA,Technology
SO,Technology
TLN,Materials
PEBO,Technology
LFCR,Consumer Discretionary
INTT,Telecom Services
FIBK,Technology
COCHW,Health Care
SRPT,Biotechnology
EUDA,Technology
FVR,Consumer Discretionary
EWTX,Technology
ASST,Finance
SCHW,Financial Services
CNX,Technology & Services
CEAD,Technology
OUT,Technology
HRTX,Technology
CANG,Consumer Discretionary
SRE,Technology
AROW,Financials
IDA,Informational Technology and Services
CBAN,Energy
OVBC,Technology
KREF,Real Estate
BEST,Finance
ONCT,Biotechnology
ATR,Technology
OSIS,Technology
CRTO,Information Technology
ICCC,Utilities
TSBK,Finance
ITRI,Technology
CLPR,Consumer Discretionary Services
FLYW,Energy
CMPS,Energy Stocks
CBNA,Banking
CYH,Hospitality/Leisure
HNNA,Technology
CARE,Finance
XPEV,Electric Vehicle
SKE,"Skeeter Barnes, Inc., Materials"
COHR,Consumer Discretionary
MEDP,Pharmaceuticals
TAYD,Financial Services
SCI,Technology
PCG^B,Financial Services
VCEL,Biotechnology
NECB,Consumer Staples
MNDO,Technology
UTG,Technology
PEG,Technology
FG,Finance
PAYS,"Financial Services 

# Sector: 8"
FISI,Financials
HTZWW,Technology
LGTY,Technology
QNRX,Pharmaceuticals
MBNKP,Consumer Goods
ARCT,Technology
GENK,Health Care
ACTG,Technology
CYCN,Technology
FMBH,Finance
AFRI,Basic Materials
WEN,Restaurant
FGF,Financials/Consumer Services
FRAF,Financials
BATRA,Consumer Discretionary Goods & Services
EHTH,Healthcare
USB,Financial Instruments & Products
PNC,Financials
ABL,Finance
CTO,Technology
ORN,Technology Software
BSAC,Materials
CX,Technology
MGNX,Healthcare
WRB,Construction</s>
PB,Finance
UG,Materials
ENLV,Clean Tech
USM,Materials
AUB,Financial Services
DLTH,Diversified Leisure Technologies
XPL,Utilities
FFNW,Technology
EGF,Materials
ALCYU,Technology
FIAC,Consumer Staples
TETEW,Aerospace/Defense
MYFW,Financials
XEL,Utilities
PGP,Consumer Defensive
ZIONP,Banks
SASR,Technology
GLBZ,Technology
UDR,Apartment Homes
ADI,Semiconductors & Semiconductor Equipment
OI,Information Technology
HOFT,Technology/Internet
REXR,Regional Banks
AGCO,Agriculture/Production/Farming Supplies & Machinery
FE,Financials
SBH,Technology
SAP,Technology
HOUR,Technology
AWK,Technology
CCBG,Consumer Finance
JOBY,Technology
HCI,Technology
GENI,Technology
USAC,Technology
SATS,Technology
DX,Financials
BCOV,Consumer Services
CTSO,Information Technology
AUROW,Technology
FTLF,Technology Equity
OESX,Industrials
TRTX,Technology
ACA,Financials
ALGT,Technology
AGRO,Agricultural Products
HOPE,Finance/Consumer Finance
ICG,Information and Communication Technology & Entertainment
AMBA,Semiconductor
AEP,Utility
UTI,Industrial Goods/Services
OPBK,Oval Realty Capital (OPBK) - Financials
AWR,Financial Services
IROQ,Industrials
ABR^E,"""Financials"""
VIPS,Technology
POR,Telecom services
FHTX,Technology
TT,Consumer Staples
WSR,Technology
SBAC,Financial Services
EBF,Technology
INDB,Banking - Regional
CAMP,Healthcare
PKX,Automotive & Parts
SSY,Gold Funds
GODN,Consumer Goods
SHBI,Banking & Finance
JPM^C,Finance/Investment Banking
CSV,Consumer Staples
ECCC,Consumer Discretionary
CETX,Technology
OHI,Real Estate
EEX,Energy
PTLO,Technology
RBC,Finance
LARK,Technology
TMUS,Communication Services
RCC,Materials
CLBK,Banking
DMLP,Healthcare/Technology
GPK,Finance
RBB,Retail Supply
OPHC,Technology
IPG,Consumer Cyclicals
RIME,Technology
RJF,Consumer Services
RMTI,Software - Technology Services
CYTO,Biotech/Pharmaceuticals
PW^A,Utilities
O,Oil & Gas
BWB,Consumer Goods
RILYG,Information Technology
KPRX,Healthcare
QUIK,Technology
SBUX,Consumer Discretionary
VST,Consumer Discretionary
IVT,Technology
MODV,Utilities
KTCC,Consumer Services
MTDR,Energy
PLYM,Energy
WEC,Utilities
IMXI,Diversified Banks & Other Specialized Lending
CLYM,Technology
IPAR,Technology
NEE^R,Energy
BZH,Zinc
OVID,Technology
ATO,Financials
FNB,Finance / Banks (FNB)
MNSBP,Manufacturing & Machinery
LTM,"""Technology"""
EVBN,Technology
NRXP,Technology
AVO,Technology
BMBL,Technology
CCI,Cement & Concrete Products
LAND,Real Estate
PHX,Basic Materials
UI,Information Technology
TM,Communication Services
PEB^E,Education
SFNC,Finance
RACE,Healthcare
FSBC,Tech
IRS,Technology
AIV,REIT - Residential
DOLE,Consumer Discretionary Goods
MRX,Pharmaceuticals
BANFP,Financial Services
MPB,Healthcare
IOBT,Technology
MGYR,Biotechnology
CPIX,Financials
WGSWW,WGSWW -> Real Estate
WEX,Financial Services
NTWK,Technology
KYMR,Technology
LNW,Technology Equipment & Supplies
LKQ,Auto Parts/Auto Dealers
ENSG,Energy
CSR,Consumer Cyclical
ATGL,Utilities
STM,Technology
BGI,Industrials
POLA,Beauty & Cosmetics
DLNG^B,Energy
SUM,Technology
NATR,Technology Services
CTBI,Banking/Finance
LUV,Transportation
GJS,Technology
ACTU,Software/Network Security
IPHA,Healthcare
ITGR,Materials
MPWR,Equipment & Components
CCU,Technology Hardware/Infra
EGBN,Financial Services
AZO,Automotive
VPG,Technology
DRI,Consumer Staples
PTSI,Financials
ALOT,Technology
VUZI,Financial Services Sector
DGHI,Healthcare Services
GLLIR,Utilities
NSA,Technology
ATRC,Technology
ABT,Healthcare
GMED,Healthcare Equipment & Supplies
HROWM,Information Technology
AMCX,Media & Entertainment
PFX,Financials
FYBR,Consumer Discretionary
FTAIM,Finance
IE,Finance
LPLA,Financial Services - Technology & Information Services
SCKT,Technology
PCSA,Technology
EHI,Technology
MMC,INSURANCE
ABUS,Technology
FRMEP,Healthcare
MLSS,Semiconductor
FRBA,Technology
OGE,Energy
STFS,Financials
GOOD,GOOD -> Consumer Defence & Controversies
EVRG,Technology
CHTR,Cable & Satellite
KMX,Consumer Cyclical
OTTR,Technology
COYA,Technology
ENIC,Energy
TLSIW,Financials
LFVN,Biotechnology
HSII,Industrial Goods/Services
FMS,Technology
DGICB,Consumer Services
TOWN,Technology
FFBC,FINANCIAL INVESTMENT SERVICES
PAR,Technology
VRAR,Technology
SF,Technology
AEM,Materials
MGEE,Technology
KFRC,Technology
DRRX,Technology
ADM,Consumer Discretionary Goods & Services
SILA,Technology
NEOV,Technology
WNEB,Healthcare Services
WAFU,Technology
KNDI,Technology
SEE,SEEQ
UHS,Healthcare Services
SWBI,Food Stocks
ARI,Technology
HFWA,Financial Services
AXIL,Technology
COLD,Healthcare Services
ALRS,Technology
CTRA,Consumer Discretionary Services
GRABW,Technology Sektor
PRK,Industrial Goods/Services
AUTL,Autolus Therapeutics plc - Technology
FFWM,Finance/Investment Services
LOT,Technology
FSV,FS Industry
IROHU,Technology
APT,Information Technology
NLY^I,REIT - Residential
PCB,Technology
MRAM,MEMORIES & STORAGE Devices
ZDGE,Technology
LPTX,Real Estate Services & Technology
TIGO,Telecommunication Services
NFG,Energy
RELL,Real Estate Investment Trusts
SONN,Technology
COKE,Consumer Staples
PLUS,Cryptocurrency
WILC,Technology
MKC,Consumer Goods
IIPR,Internet Software & Services
USEG,Oil and Gas Equipment & Services
ZIONO,Finance
CRBG,Consumer Cyclical
LAUR,Technology
MPX,Technology
GLOP^A,Communication Services
CNH,Technology & Communications
NRO,Real Estate
COST,Consumer Discretionary Goods & Services
ATNI,Communication Services
WY,Telecommunications Services
AVBP,Information Technology
YYAI,Information Technology
CRWS,Telecommunications Services
ETSY,Consumer Discretionary
CENT,Finance
TGLS,Technology
KE,Technology
SSBK,Technology
BRLT,Technology
PKBK,Technology
STN,Technology
SVV,Technology
DGICA,Financials
JKHY,Technology
PPBI,Financial Services
FBRT,Real Estate
EBTC,Technology
TTWO,Information Technology
YUMC,Consumer Discretionary Services
TTGT,Technology
EXTR,Metals & Mining
PXDT,Technology
PBH,Pension Funds - Insurance
RMBL,Technology
EQT,Energy
CUZ,Financial Services
CBNK,Banking
BCH,Cryptocurrencies
BFH,Banking and Finance
SARO,Software
RTO,Technology
BK,Financials
CASS,Technology
AON,Financials
BSBR,Financial Services
DPG,Industrials
EH,Energy
NXDT^A,Sector Technology
LKFN,Finance
AXTA,Financials
TURB,Technology
BWFG,Real Estate Services
SNA,Software
AJG,Insurance
CGEN,Biotechnology
AKTS,Technology
CJJD,Technology
WALD,Real Estate.
JFU,Finance
PLXS,Electronics/Components
STAG,Real Estate
JRVR,Technology
DUK,Financials
UBFO,Financial Services
GPN,Payment Services
GCBC,Consumer Discretionary Goods & Services
BMY,Pharmaceuticals/Healthcare
VSTA,Consumer Discretionary Services
BAYA,Technology
NXRT,Real Estate
PVBC,Technology
NWE,Energy
SBR,Ryman Hospitality Properties Inc. - Consumer Cyclical
CBUS,Banking/Financials
NBY,Biotechnology
KRNY,Technology
GFL,Industrials
EBAY,Consumer Discretionary (Retail)
OPINL,IT
RAIL,Transportation
RFL,Financials
ULTA,Beauty & Cosmetics
FRLA,Healthcare
BHLB,Regional Banks
DENN,Communication Services
CRS,Financial Services
AHH,Utilities
CATO,Technology
BRO,"""RETAIL"""
SCL,Technology
CET,Technology
HLVX,Technology
AKR,Real Estate
MYO,Information Technology
RHE,Basic Materials
WLKP,Telecommunications Services
MCAG,Technology
TDG,Homebuilders
ACIW,Software & Services
ICUCW,Health Care Equipment & Services
CATY,Finance
BY,Technology
MGX,Materials
SAIH,Technology and Communications Services
CWEN,Technology Services
MSBI,Banking & Finance Services
AIG,Finance
CBU,Regional Banks
EXC,Energy
FONR,RETAIL/DEPARTMENT STORES
FLYE,Industrial Products
KTN,Technology
TRTN^A,Technology
FCPT,REIT - Real Estate Investment Trusts
AMH^H,Financial Services
BAH,Technology Services & Internet
BURL,Consumer Discretionary
