symbol,name
PAVS,Paranovus Entertainment Technology Ltd. Class A Ordinary Shares
CNFR,"Conifer Holdings, Inc."
WOK,WORK Medical Technology Group LTD
T,AT&T Inc.
CERO,"CerO Therapeutics Holdings, Inc. Common Stock"
PRSO,Peraso Inc.
CVU,"CPI Aerostructures, Inc. Common Stock"
NNAVW,NextNav Inc. Warrant
ATXG,Addentax Group Corp. Common Stock
FIACU,Focus Impact Acquisition Corp. Unit
GB,Global Blue Group Holding AG Ordinary Shares
SYNX,Silynxcom Ltd. Ordinary Shares
ATUS,"Altice USA, Inc. Class A Common Stock"
DJT,Trump Media & Technology Group Corp. Common Stock
FBMS,"First Bancshares, Inc."
JACK,Jack In The Box Inc. Common Stock
APWC,"Asia Pacific Wire & Cable Corporation, Ltd. Ordinary Shares (Bermuda)"
HUMA,"Humacyte, Inc. Common Stock"
GLP,Global Partners LP Common Units representing Limited Partner Interests
PW,Power REIT (MD) Common Stock
SINT,"SiNtx Technologies, Inc. Common Stock 
TICKER:SINT 
NAME: SiNtx Technologies, Inc. Common Stock"
ONVO,"Organovo Holdings, Inc. Common Stock"
SCWO,374Water Inc. Common Stock
EVAX,Evaxion Biotech A/S American Depositary Share
ANIX,"Anixa Biosciences, Inc."
TC,TuanChe Limited American Depositary Shares
EPSN,Epsilon Energy Ltd. Common Share
PLAG,Planet Green Holdings Corp. Common Stock
GNTA,Genenta Science S.p.A. American Depositary Shares
MDJH,"MDJM LTD ORDINARY SHARE 
or equivalently: 
MD JM LTD. ORDINARY SHA."
FVRR,"Fiverr International Ltd. Ordinary Shares, no par value"
LASE,Laser Photonics Corporation Common Stock
PRPL,"Purple Innovation, Inc. Common Stock"
QUAD,"Quad Graphics, Inc Class A Common Stock"
UMAC,"Unusual Machines, Inc. Common Stock"
FEAM,"5E Advanced Materials, Inc. Common Stock"
GODNU,Golden Star Acquisition Corporation Unit
VINE,"Fresh Vine Wine, Inc. Common Stock"
HGBL,Heritage Global Inc. Common Stock
SJT,San Juan Basin Royalty Trust Common Stock
ESLA,"Estrella Immunopharma, Inc. Common Stock"
SNES,"SenesTech, Inc. Common Stock"
SHMD,SCHMID Group N.V. Class A Ordinary Shares
UNB,"Union Bankshares, Inc. Common Stock"
ALVO,Alvotech
TNL,Travel   Leisure Co. Common  Stock
LVLU,"Lulu's Fashion Lounge Holdings, Inc. Common Stock"
YCBD,"cbdMD, Inc."
TXN,Texas Instruments Incorporated Common Stock
BRFH,Barfresh Food Group Inc. Common Stock
ASPI,"ASPI 
ASP Isotopes Inc. Common Stock"
UONEK,"Urban One, Inc."
CGA,"China Green Agriculture, Inc. Common Stock"
SPCB,"SuperCom, Ltd. Ordinary Shares (Israel)"
LRN,"Stride, Inc. Common Stock"
AMPGW,"Amplitech Group, Inc. Warrants"
COEPW,"Coeptis Therapeutics Holdings, Inc. Warrants"
AEAEW,AltEnergy Acquisition Corp. Warrant
NLSPW,NLS Pharmaceutics Ltd.
CRGOW,Freightos LIMITED WaRrANts
CITEW,Cartica Acquisition Corp Warrant
UAVS,"AgEagle Aerial Systems, Inc. Common Stock"
PNST,"Pinstripes Holdings, Inc. Class A Common Stock"
MNYWW,MoneyHero Limited Warrants
FTRE,Fortrea Holdings Inc. Common Stock
CLIR,ClearSign Technologies Corporation Common Stock (DE)
JVSAU,JVSPAC Acquisition Corp. Unit
PMEC,Primech Holdings Ltd. Ordinary Shares
CCO,"Clear Channel Outdoor Holdings, Inc. Common Stock"
CUBWW,Lionheart Holdings Warrant
SOHOO,Sotherly Hotels Inc.
VYGR,"Voyager Therapeutics, Inc. Common Stock"
NTIP,"Network-1 Technologies, Inc. Common Stock"
WKEY,WISeKey International Holding Ltd American Depositary Shares.
UK,UCommune International Ltd Ordinary Shares
VEON,VEON Ltd. ADS
RENT,"Rent the Runway, Inc."
PTN,"Palatin Technologies, Inc. Common Stock"
SCOR,"comScore, Inc. Common Stock"
NUS,"Nu Skin Enterprises, Inc. Common Stock"
CIO,"City Office REIT, Inc. Common Stock"
LI,Li Auto Inc. American Depositary Shares
LIDRW,"AEye, Inc. Warrant"
GCI,"Gannett Co., Inc."
EPRX,Eupraxia Pharmaceuticals Inc. Common Stock
ITRM,Iterum Therapeutics plc Ordinary Share
NXLIW,"Nexalin Technology, Inc. Warrant"
MGNI,"Magnite, Inc. Common Stock"
TMHC,Taylor Morrison Home Corporation Common Stock
LSBK,"Lake Shore Bancorp, Inc. Common Stock"
FTCI,"FTC Solar, Inc. Common Stock"
AKTX,Akari Therapeutics plc ADS
YGMZ,MingZhu Logistics Holdings Limited Ordinary Shares
CCTG,CCSC Technology International Holdings Limited Class A Ordinary Shares
TWIN,"Twin Disc, Incorporated Common Stock"
ALTR,Altair Engineering Inc. Class A Common Stock
PLAOU,Patria Latin American Opportunity Acquisition Corp. Unit
ABVE,Above Food Ingredients Inc. Common Stock
COMM,"CommScope Holding Company, Inc. Common Stock"
RRC,Range Resources Corporation Common Stock
VERB,"Verb Technology Company, Inc. Common Stock"
OCC,Optical Cable Corporation Common Stock
GOGO,Gogo Inc. Common Stock
FGI,FGI Industries Ltd. Ordinary Shares
AHT^G,Ashford Hospitality Trust Inc
STEC,Santech Holdings Limited American Depositary Shares
NTRP,"NextTrip, Inc."
ANTE,AirNet Technology Inc. American Depositary Shares
SMBK,"SmartFinancial, Inc. Common Stock"
VS,Versus Systems Inc. Common Shares
FVCB,"FVCBankcorp, Inc. Common Stock"
TIRX,TIAN RUIXIANG HOLDINGS LTD Class A ORDINARY SHARES
RPID,"Rapid Micro Biosystems, Inc. Class A Common Stock"
BSRR,Sierra Bancorp Common Stock
BH,Biglari Holdings Inc. Class B Common Stock
TACT,TransAct Technologies Incorporated Common Stock
DCOM,"Dime Community Bancshares, Inc. Common Stock"
GSBC,"Great Southern Bancorp, Inc. Common Stock"
VZ,Verizon Communications Inc. Common Stock
GDOT,"Green Dot Corporation Class A Common Stock, $0.001 par value"
NMTC,NeuroOne Medical Technologies Corporation Common Stock
FSHPU,Flag Ship Acquisition Corp. Unit
ALTS,ALT5 Sigma Corporation Common Stock
TELO,"Telomir Pharmaceuticals, Inc. Common Stock"
MDAIW,"Spectral AI, Inc. Warrants"
CPSS,"Consumer Portfolio Services, Inc. Common Stock"
AHR,"American Healthcare REIT, Inc. Common Stock"
PIRS,"Pieris Pharmaceuticals, Inc. Common Stock"
ENGN,enGene Holdings Inc. Common Stock
IP,International Paper Company Common Stock
TLPH,"Talphera, Inc. Common Stock"
ORRF,Orrstown Financial Services Inc Common Stock
SIM,"Grupo Simec, S.A.B. de C.V."
ISTR,Investar Holding Corporation Common Stock
RCUS,"Arcus Biosciences, Inc. Common Stock"
IHT,InnSuites Hospitality Trust Shares of Beneficial Interest
IRDM,Iridium Communications Inc Common Stock
DOC,"Healthpeak Properties, Inc. Common Stock"
WASH,"Washington Trust Bancorp, Inc."
ALGM,"Allegro MicroSystems, Inc. Common Stock"
CARM,"Carisma Therapeutics, Inc."
FDMT,"4D Molecular Therapeutics, Inc."
SPH,"Suburban Propane Partners, L.P."
PULM,"Pulmatrix, Inc. Common Stock"
NAMSW,NewAmsterdam Pharma Company N.V. Warrant
SAIHW,SAIHEAT Limited Warrant
TBMCR,Trailblazer Merger Corporation I Rights
JDZG,JADE LIMITED COMMON STOCK
SGMO,"Sangamo Therapeutics, Inc. Common Stock"
UPWK,Upwork Inc. Common Stock
ABVEW,Above Food Ingredients Inc. Warrants
RAYA,Erayak Power Solution Group Inc. Class A Ordinary Shares
NRSNW,NeuroSense Therapeutics Ltd. Warrant
LDTCW,LeddarTech Holdings Inc. Warrants
MSAIW,"MultiSensor AI Holdings, Inc. Warrant"
CGTX,"Cognition Therapeutics, Inc. Common Stock"
LSB,"LakeShore Biopharma Co., Ltd Ordinary Shares"
IVCAW,Investcorp AI Acquisition Corp. Warrant
IPXXW,Inflection Point Acquisition Corp. II Warrant
ASPS,Altisource Portfolio Solutions S.A. Common Stock
FAMI,"Farmmi, Inc. Ordinary Shares"
AMPG,"Amplitech Group, Inc. Common Stock"
PHUN,"Phunware, Inc. Common Stock"
AERTW,"Aeries Technology, Inc. Warrant"
VMCAW,Valuence Merger Corp. I Warrant
MTEN,Mingteng International Corporation Inc. Ordinary Shares
SGD,Safe and Green Development Corporation Common Stock
SVIIW,Spring Valley Acquisition Corp. II Warrant
TALO,"Talos Energy, Inc. Common Stock"
XERS,"Xeris Biopharma Holdings, Inc. Common Stock"
ELME,Elme Communities
WNS,WNS (Holdings) Limited Ordinary Shares
KZR,"Kezar Life Sciences, Inc. Common Stock"
GAU,Galiano Gold Inc.
RVMD,"Revolution Medicines, Inc."
RDIB,Reading International Inc Class B Common Stock
PROV,"Provident Financial Holdings, Inc. Common Stock"
CRVO,CervoMed Inc. Common Stock
ARL,"American Realty Investors, Inc. Common Stock"
FSI,Flexible Solutions International Inc. Common Stock (CDA)
APLT,"Applied Therapeutics, Inc."
WFCF,"Where Food Comes From, Inc. Common Stock"
TPST,"Tempest Therapeutics, Inc."
STKH,Steakholder Foods Ltd. American Depositary Shares
PCTTW,"PureCycle Technologies, Inc. Warrant"
NRG,"NRG Energy, Inc. Common Stock"
PYXS,"Pyxis Oncology, Inc. Common Stock"
GE,GE Aerospace Common Stock
RHI,Robert Half Inc. Common Stock
OCS,Oculis Holding AG Ordinary Shares
LOMA,Loma Negra Compania Industrial Argentina Sociedad Anonima ADS
BKR,Baker Hughes Company Class A Common Stock
VIRX,"Viracta Therapeutics, Inc. Common Stock"
NWFL,Norwood Financial Corp. Common Stock
BOTJ,"Bank of the James Financial Group, Inc."
GTIM,Good Times Restaurants Inc. Common Stock
CTVA,"Corteva, Inc. Common Stock"
HCSG,"Healthcare Services Group, Inc. Common Stock"
KVHI,"Kvh Industries, Inc. Common Stock"
CNFRZ,"Conifer Holdings, Inc. 9.75% Senior Unsecured Notes due 2028"
GPC,Genuine Parts Company Common Stock
ELS,"Equity Lifestyle Properties, Inc. Common Stock"
SUI,"Sun Communities, Inc."
TRU,TransUnion Common Stock
IVCB,Investcorp Europe Acquisition Corp I Class A Ordinary Shares
VIGL,"Vigil Neuroscience, Inc. Common Stock"
LNKB,"LINKBANCORP, Inc. Common Stock"
ANEB,"Anebulo Pharmaceuticals, Inc. Common Stock"
APDN,"Applied DNA Sciences, Inc. Common Stock"
AMRC,"Ameresco, Inc."
LUXHP,LuxUrban Hotels Inc. 13.00% Series A Cumulative Redeemable Preferred Stock
CURR,Currenc Group Inc. Ordinary Shares
GLXG,Galaxy Payroll Group Limited Ordinary Shares
BXMT,"Blackstone Mortgage Trust, Inc./Common Stock"
TARS,"Tarsus Pharmaceuticals, Inc. Common Stock"
CLS,"Celestica, Inc. Common Stock"
TXNM,"TXNM Energy, Inc. Common Stock"
SHEN,Shenandoah Telecommunications Co Common Stock
BHRB,Burke & Herbert Financial Services Corp. Common Stock
UHG,"United Homes Group, Inc. Class A Common Stock"
PRDO,Perdoceo Education Corporation
LII,"Lennox International, Inc. Common Stock"
KLC,"KinderCare Learning Companies, Inc. Common Stock"
NTRB,Nutriband Inc. Common Stock
CRMD,CorMedix Inc. Common Stock
ENVB,"Enveric Biosciences, Inc."
CRKN,Crown Electrokinetics Corp. Common Stock
LENZ,"LENZ Therapeutics, Inc. Common Stock"
MXL,"MaxLinear, Inc. Common Stock"
PVL,Permianville Royalty Trust Trust Units
RAPP,"Rapport Therapeutics, Inc. Common Stock"
CUBB,"Customers Bancorp, Inc 5.375% Subordinated Notes"
RDZN,"Roadzen, Inc. Ordinary Shares"
MHH,"Mastech Digital, Inc."
IMTE,Integrated Media Technology Limited Ordinary Shares
LBGJ,Li Bang International Corporation Inc. Ordinary Shares
HLF,Herbalife Ltd. Common Shares
WTBA,West Bancorporation Common Stock
REFR,Research Frontiers Incorporated Common Stock
UGRO,"urban-gro, Inc. Common Stock"
BVS,Bioventus Inc.	Class	A	Common	Stock
PPC,Pilgrim's Pride Corporation Common Stock
DAIO,Data I/O Corporation Common Stock
ATMVR,AlphaVest Acquisition Corp.
BRLSW,Borealis Foods Inc. Warrant
JUNE,Junee Limited Ordinary Shares
EB,"Eventbrite, Inc."
NTIC,Northern Technologies International Corporation
AFYA,Afya Limited Class A Common Shares
FCEL,"FuelCell Energy, Inc. Common Stock"
PNTG,"The Pennant Group, Inc."
APH,Amphenol Corporation Common Stock
MSC,Studio City International Holdings Limited
FTHM,Fathom Holdings Inc. Common Stock
LPL,"LG Display Co, Ltd AMERICAN DEPOSITORY SHARES"
EQX,Equinox Gold Corp. Common Shares
GPMT,Granite Point Mortgage Trust Inc. Common Stock
EVLVW,"Evolv Technologies Holdings, Inc. Warrant"
LSAK,"Lesaka Technologies, Inc. Common Stock"
GLT,Glatfelter Corporation Common Stock
QNCX,"Quince Therapeutics, Inc."
RYAM,Rayonier Advanced Materials Inc. Common Stock
MPU,Mega Matrix Inc. Class A Ordinary Shares
SUUN,SolarBank Corporation Common Stock
FRD,Friedman Industries Inc. Common Stock
RECT,Rectitude Holdings Ltd Ordinary Shares
APM,Aptorum Group Limited Class A Ordinary Shares
AMH,American Homes 4 Rent Common Shares of Beneficial Interest
QTTB,Q32 Bio Inc. Common Stock
EQR,Equity Residential Common Shares of Beneficial Interest
NVST,Envista Holdings Corporation
BFIN,BankFinancial Corporation Common Stock.
EQS,"Equus Total Return, Inc. Common Stock"
PACS,"PACS Group, Inc. Common Stock"
BKYI,"BIO-key International, Inc. Common Stock"
UMH,"UMH Properties, Inc. Common Stock"
MNSO,"MINISO Group Holding Limited American Depositary Shares, each representing four Ordinary Shares"
OCX,Oncocyte Corporation Common Stock
WCT,Wellchange Holdings Company Limited Ordinary shares
ACNT,Ascent Industries Co. Common Stock
CRGO,Freightos Limited Ordinary shares
EDN,Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor)
ESS,"Essex Property Trust, Inc. Common Stock"
UONE,"Urban One, Inc. Class A Common Stock"
STBX,Starbox Group Holdings Ltd. Class A Ordinary Shares
SAH,"Sonic Automotive, Inc. Common Stock"
CRK,"Comstock Resources, Inc."
MVBF,MVB Financial Corp. Common Stock
OS,"OneStream, Inc."
UEIC,Universal Electronics Inc. Common Stock
VLGEA,"Village Super Market, Inc. Class A Common Stock"
LINK,"Interlink Electronics, Inc. Common Stock"
SABR,Sabre Corporation Common Stock
RYAN,"Ryan Specialty Holdings, Inc. Class A Common Stock"
AMT,American Tower Corporation (REIT) Common Stock
IZEA,"IZEA Worldwide, Inc. Common Stock"
ACI,"Albertsons Companies, Inc."
HURC,"Hurco Companies, Inc. Common Stock"
ON,ON Semiconductor Corporation Common Stock
AVB,"AvalonBay Communities, Inc."
IMUX,"Immunic, Inc. Common Stock"
SIGI,"Selective Insurance Group, Inc. Common Stock"
PMAX,Powell Max Limited Class A Ordinary Shares
GNL^B,"Global Net Lease, Inc."
KR,The Kroger Company (The) Common Stock
DFH,"Dream Finders Homes, Inc."
EEFT,"Euronet Worldwide, Inc. Common Stock"
ADC,Agree Realty Corporation Common Stock
NXPI,NXP Semiconductors N.V. COMMON STOCK
NRXS,"Neuraxis, Inc. Common Stock"
LXEH,"Lixiang Education Holding Co., Ltd. American Depositary Shares"
SOHOB,Sotherly Hotels Inc. 8.0% Series B Cumulative Redeemable Perpetual Preferred Stock
DAO,"Youdao, Inc."
ILAG,ILAG - Intelligent Living Application Group Inc. Ordinary Shares.
CMTG,"Claros Mortgage Trust, Inc. Common Stock"
PRPO,"Precipio, Inc."
INVH,Invitation Homes Inc. Common Stock
UVE,UNIVERSAL INSURANCE HOLDINGS INC Common Stock
AEON,"AEON Biopharma, Inc. Class A Common Stock"
WSBF,"Waterstone Financial, Inc. Common Stock (MD)"
ASM,Avino Silver & Gold Mines Ltd. Common Shares (Canada)
PWOD,"Penns Woods Bancorp, Inc. Common Stock"
NAMS,NewAmsterdam Pharma Company N.V. Ordinary Shares
XNET,Xunlei Limited American Depositary Shares
NVACR,NorthView Acquisition Corporation Rights
XCH,XCHG Limited American Depositary Share
OKYO,OKYO Pharma Limited Ordinary Shares
TNONW,"Tenon Medical, Inc. Warrant"
NVAWW,Nova Minerals Limited Warrant
OCEAW,"Ocean Biomediacal, Inc. Warrants"
VEV,Vicinity Motor Corp. Common Stock
CGBSW,Crown LNG Holdings Limited Warrants
BKHAR,Black Hawk Acquisition Corporation Rights
FBLA,"FB Bancorp, Inc. Common Stock"
CRMLW,Critical Metals Corp. Warrants
JBT,John Bean Technologies Corporation Common Stock
NTRBW,Nutriband Inc. Warrant.
SKK,SKK Holdings Limited Common Stock
LVTX,"Lava Therapeutics N.V., Ordinary Shares"
CDT,Conduit Pharmaceuticals Inc. Common Stock
LUXH,LuxUrban Hotels Inc. Common Stock
LILMW,Lilium N.V. Warrants
GTBP,"GT Biopharma, Inc."
VEEE,Twin Vee PowerCats Co. Common Stock
CAPTW,Captivision Inc. Warrant
HRTG,"Heritage Insurance Holdings, Inc. Common Stock"
DSS,"DSS, Inc. Common Stock"
LEXXW,Lexaria Bioscience Corp.
LTRYW,"Lottery.com, Inc. Warrants"
ODVWZ,Osisko Development Corp.
QNTM,Quantum Biopharma Ltd. Class B Subordinate Voting Shares
CCTSW,Cactus Acquisition Corp. 1 Limited Warrant.
IKT,"Inhibikase Therapeutics, Inc."
WALDW,Waldencast plc Warrant
AFJKR,"Aemie Health Technology Co., Ltd."
WINVR,WinVest Acquisition Corp.
WWR,"Westwater Resources, Inc. Common Stock"
PFTAW,Perception Capital Corp. III Warrant
EEIQ,EpicQuest Education Group International Limited Common Stock
PDYNW,Palladyne AI Corp Warrants
NDLS,Noodles & Company Class A Common Stock
SMXT,Solarmax Technology Inc. Common Stock
LRHC,La Rosa Holdings Corp. Common Stock
LILM,Lilium NV Class A Ordinary Shares
VICR,Vicor Corporation Common Stock
RMCF,"Rocky Mountain Chocolate Factory, Inc. 
Common Stock has been added to database for mapping and further analysis. Would you like to process more data?"
NVA,Nova Minerals Limited American Depositary Shares
BDRX,Biodexa Pharmaceuticals plc American Depositary Shs
FBYDW,"Falcon's Beyond Global, Inc. Warrants"
GDTC,CytoMed Therapeutics Limited Ordinary Shares
TZOO,Travelzoo Common Stock
GDSTR,Goldenstone Acquisition Limited Rights
YOTAR,Yotta Acquisition Corporation Right
SVRE,SaverOne 2014 Ltd. American Depositary Shares
GDEV,GDEV Inc. Ordinary Shares
HCTI,"Healthcare Triangle, Inc. Common Stock"
NETDW,Nabors Energy Transition Corp. II Warrant
KWE,KWESST Micro Systems Inc. Common Stock
CINGW,Cingulate Inc. Warrants
CNTX,Context Therapeutics Inc. Common Stock
RKDA,"Arcadia Biosciences, Inc. Common Stock"
DRMAW,"Dermata Therapeutics, Inc. Warrant"
LEE,"Lee Enterprises, Incorporated Common Stock"
TLSA,Tiziana Life Sciences Ltd. Common Shares
XBPEW,"XBP Europe Holdings, Inc. Warrant"
GDEVW,GDEV Inc. Warrant
ZCARW,"Zoomcar Holdings, Inc. Warrants"
DOUG,Douglas Elliman Inc. Common Stock
TMTCR,TMT Acquisition Corp Rights
LYRA,"Lyra Therapeutics, Inc. Common Stock"
PTON,"Peloton Interactive, Inc."
GTEC,Greenland Technologies Holding Corporation Ord Shs
AUMN,Golden Minerals Company Common Stock
ALXO,ALX Oncology Holdings Inc. Common Stock
LGMK,"LogicMark, Inc."
VMI,"Valmont Industries, Inc. Common Stock"
LUMO,"Lumos Pharma, Inc. Common Stock"
IBO,"Impact BioMedical, Inc. Common Stock"
RNAZ,"TransCode Therapeutics, Inc. Common Stock"
HYMCW,Hycroft Mining Holding Corporation Warrant
ELDN,"Eledon Pharmaceuticals, Inc."
RZLVW,Rezolve AI Limited Warrants
RCKTW,"Rocket Pharmaceuticals, Inc. Warrant"
LAD,"Lithia Motors, Inc. Common Stock"
ALCE,"Alternus Clean Energy, Inc. Class A Common Stock"
IRT,"Independence Realty Trust, Inc. Common Stock"
OMCC,Old Market Capital Corporation Common Stock
SAM,"Boston Beer Company, Inc. (The) Common Stock"
AE,"Adams Resources & Energy, Inc. Common Stock"
GIFT,"RDE, Inc. Common Stock"
EW,Edwards Lifesciences Corporation Common Stock
VBTX,"Veritex Holdings, Inc. Common Stock"
ATGE,Adtalem Global Education Inc. Common Stock
WHLM,"Wilhelmina International, Inc. Common Stock"
RPAY,Repay Holdings Corporation Class A Common Stock
TFSL,TFS Financial Corporation Common Stock
RUSHB,"Rush Enterprises, Inc. Class B"
BXC,Bluelinx Holdings Inc. Common Stock
ULCC,"Frontier Group Holdings, Inc. Common Stock"
TFFP,"TFF Pharmaceuticals, Inc. Common Stock"
XRTX,Xortx Therapeutics Inc.
ATMU,Atmus Filtration Technologies Inc. Common Stock
ALBT,Avalon GloboCare Corp. Common Stock
CFR,"Cullen/Frost Bankers, Inc. Common Stock"
PLPC,Preformed Line Products Company Common Stock
WEYS,"Weyco Group, Inc. Common Stock"
MIRA,"MIRA Pharmaceuticals, Inc. Common Stock"
GAIA,"Gaia, Inc. Class A Common Stock"
HWH,HWH International Inc. Common Stock
GOEVW,Canoo Inc. Warrant
CR,Crane Company Common Stock
ELVA,Electrovaya Inc. Common Shares
QSR,Restaurant Brands International Inc. Common Shares
SYBT,"Stock Yards Bancorp, Inc. Common Stock"
ISPR,Ispire Technology Inc.
SABSW,"SAB Biotherapeutics, Inc."
RRBI,"Red River Bancshares, Inc."
RUSHA,"Rush Enterprises, Inc. Common Stock Cl A"
